"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_029162",412.891383526987,403.066503091089,9.8248804358978,393.241622655191,"orange","gar-1",1619
"FUN_044398",417.63668367302,401.970978952192,15.6657047208285,386.305274231363,"orange","DCTN1",2347
"FUN_035057",409.453370732243,401.05024085068,8.40312988156307,392.647110969117,"orange","",1919
"FUN_043812",407.05158919733,398.562617501454,8.48897169587588,390.073645805578,"orange","",2342
"FUN_024609",408.437207719351,398.065611289289,10.3715964300619,387.694014859227,"orange","",1386
"FUN_005218",410.682465580595,397.914711113147,12.7677544674485,385.146956645698,"orange","DAG1_1",363
"FUN_007942",411.48760948727,397.565775764572,13.9218337226981,383.643942041874,"orange","MTMR6",515
"FUN_037412",406.085052036316,397.539072415674,8.54597962064128,388.993092795033,"orange","",2042
"FUN_026945",408.428299898355,397.118315444557,11.3099844537978,385.808330990759,"orange","",1493
"FUN_025224",407.037146382915,396.904624417103,10.132521965812,386.772102451291,"orange","",1411
"FUN_010723",405.600924100906,396.753488555813,8.84743554509276,387.906053010721,"orange","TUB2_1",632
"FUN_015999",404.35962769501,396.611399261927,7.74822843308294,388.863170828844,"orange","RASL10B",922
"FUN_028569",403.268207595886,396.598679286752,6.66952830913448,389.929150977617,"orange","",1579
"FUN_022649",403.27315580153,396.457157320384,6.81599848114615,389.641158839238,"orange","GLRA3_4",1292
"FUN_029452",405.094329148225,395.670235749236,9.42409339898825,386.246142350248,"orange","MAP2",1651
"FUN_014332",416.603082679502,394.951233761061,21.6518489184412,373.299384842619,"orange","CHL1_3",817
"FUN_038957",419.151495701139,394.25360669338,24.8978890077593,369.355717685621,"orange","",2121
"FUN_029568",408.346977043275,394.070450932373,14.2765261109026,379.79392482147,"orange","KCNK1",1661
"FUN_039677",411.050032248067,393.552255937134,17.4977763109334,376.0544796262,"orange","",2158
"FUN_012521",414.514475488123,393.32730659305,21.1871688950732,372.140137697977,"orange","",716
"FUN_026824",401.300471930226,393.303373017176,7.99709891304929,385.306274104127,"orange","",1476
"FUN_024218",407.341023757702,393.254902126826,14.0861216308756,379.16878049595,"orange","ROR1_1",1359
"FUN_006840",401.177118940845,392.848987867074,8.32813107377046,384.520856793304,"orange","",445
"FUN_017254",402.638744814515,392.358380567346,10.2803642471696,382.078016320176,"orange","CHL1_5",1005
"FUN_005664",405.243948738409,392.24070620107,13.003242537339,379.237463663731,"orange","",380
"FUN_004836",399.98744174765,392.137100951895,7.8503407957553,384.28676015614,"orange","",335
"FUN_001624",400.338614214391,391.71384484888,8.62476936551053,383.08907548337,"orange","",147
"FUN_018357",398.500227289172,390.859188660117,7.64103862905512,383.218150031062,"orange","ABCB9",1050
